ID,CID,STB_ID,CREATED_ON,STATUS
1,1,1,,CURRENT
2,2,2,,CURRENT
3,3,3,,CURRENT
4,4,4,,CURRENT
5,5,5,,CURRENT
6,6,6,,CURRENT
7,7,7,,CURRENT
8,8,8,,CURRENT
9,9,9,,CURRENT
10,10,10,,CURRENT
11,11,11,,CURRENT
12,12,12,,CURRENT
13,13,13,,CURRENT
14,14,14,,CURRENT
15,15,15,,CURRENT
16,16,16,,CURRENT
17,17,17,,CURRENT
18,18,18,,CURRENT
19,19,19,,CURRENT
20,20,20,,CURRENT
21,21,21,,CURRENT
22,22,22,,CURRENT
23,23,23,,CURRENT
24,24,24,,CURRENT
25,25,25,,CURRENT
26,26,26,,CURRENT
27,27,27,,CURRENT
28,28,28,,CURRENT
29,29,29,,CURRENT
30,30,30,,CURRENT
31,31,31,,CURRENT
32,32,32,,CURRENT
33,33,33,,CURRENT
34,34,34,,CURRENT
35,35,35,,CURRENT
36,36,36,,CURRENT
37,37,37,,CURRENT
38,38,38,,CURRENT
39,39,39,,CURRENT
40,40,40,,CURRENT
41,41,41,,CURRENT
42,42,42,,CURRENT
43,43,43,,CURRENT
44,44,44,,CURRENT
45,45,45,,CURRENT
46,46,46,,CURRENT
47,47,47,,CURRENT
48,48,48,,CURRENT
49,49,49,,CURRENT
50,50,50,,CURRENT
51,51,51,,CURRENT
52,52,52,,CURRENT
53,53,53,,CURRENT
54,54,54,,CURRENT
55,55,55,,CURRENT
56,56,56,,CURRENT
57,57,57,,CURRENT
58,58,58,,CURRENT
59,59,59,,CURRENT
60,60,60,,CURRENT
61,61,61,,CURRENT
62,62,62,,CURRENT
63,63,63,,CURRENT
64,64,64,,CURRENT
65,65,65,,CURRENT
66,66,66,,CURRENT
67,67,67,,CURRENT
68,68,68,,CURRENT
69,69,69,,CURRENT
70,70,70,,CURRENT
71,71,71,,CURRENT
72,72,72,,CURRENT
73,73,73,,CURRENT
74,74,74,,CURRENT
75,75,75,,CURRENT
76,76,76,,CURRENT
77,77,77,,CURRENT
78,78,78,,CURRENT
79,80,79,,CURRENT
80,81,80,,CURRENT
81,82,81,,CURRENT
82,83,82,,CURRENT
83,84,83,,CURRENT
84,85,84,,CURRENT
85,86,85,,CURRENT
86,87,86,,CURRENT
87,88,87,,CURRENT
88,89,88,,CURRENT
89,90,89,,CURRENT
90,91,90,,CURRENT
91,92,91,,CURRENT
92,93,92,,CURRENT
93,94,93,,CURRENT
94,95,94,,CURRENT
95,96,95,,CURRENT
96,97,96,,CURRENT
97,98,97,,CURRENT
98,99,98,,CURRENT
99,100,99,,CURRENT
100,101,100,,CURRENT
101,102,101,,CURRENT
102,103,102,,CURRENT
103,104,103,,CURRENT
104,105,104,,CURRENT
105,106,105,,CURRENT
106,107,106,,CURRENT
107,108,107,,CURRENT
108,109,108,,CURRENT
109,110,109,,CURRENT
110,111,110,,CURRENT
111,112,111,,CURRENT
112,113,112,,CURRENT
113,114,113,,CURRENT
114,115,114,,CURRENT
115,116,115,,CURRENT
116,117,116,,CURRENT
117,118,117,,CURRENT
118,119,118,,CURRENT
119,120,119,,CURRENT
120,121,120,,CURRENT
121,122,121,,CURRENT
122,124,122,,CURRENT
123,125,123,,CURRENT
124,126,124,,CURRENT
125,127,125,,CURRENT
126,128,126,,CURRENT
127,129,127,,CURRENT
128,130,128,,CURRENT
129,131,129,,CURRENT
130,132,130,,CURRENT
131,133,131,,CURRENT
132,134,132,,CURRENT
133,135,133,,CURRENT
134,136,134,,CURRENT
135,137,135,,CURRENT
136,138,136,,CURRENT
137,139,137,,CURRENT
138,140,138,,CURRENT
139,141,139,,CURRENT
140,142,140,,CURRENT
141,143,141,,CURRENT
142,144,142,,CURRENT
143,145,143,,CURRENT
144,146,144,,CURRENT
145,147,145,,CURRENT
146,148,146,,CURRENT
147,149,147,,CURRENT
148,150,148,,CURRENT
149,151,149,,CURRENT
150,152,150,,CURRENT
151,153,151,,CURRENT
152,154,152,,CURRENT
153,155,153,,CURRENT
154,156,154,,CURRENT
155,157,155,,CURRENT
156,158,156,,CURRENT
157,159,157,,CURRENT
158,160,158,,CURRENT
159,161,159,,CURRENT
160,162,160,,CURRENT
161,163,161,,CURRENT
162,164,162,,CURRENT
163,165,163,,CURRENT
164,166,164,,CURRENT
165,167,165,,CURRENT
166,168,166,,CURRENT
167,169,167,,CURRENT
168,171,168,,CURRENT
169,172,169,,CURRENT
170,173,170,,CURRENT
171,174,171,,CURRENT
172,175,172,,CURRENT
173,176,173,,CURRENT
174,177,174,,CURRENT
175,178,175,,CURRENT
176,179,176,,CURRENT
177,180,177,,CURRENT
178,181,178,,CURRENT
179,182,179,,CURRENT
180,183,180,,CURRENT
181,184,181,,CURRENT
182,185,182,,CURRENT
183,186,183,,CURRENT
184,187,184,,CURRENT
185,188,185,,CURRENT
186,189,186,,CURRENT
187,190,187,,CURRENT
188,191,188,,CURRENT
189,192,189,,CURRENT
190,193,190,,CURRENT
191,194,191,,CURRENT
192,195,192,,CURRENT
193,196,193,,CURRENT
194,197,194,,CURRENT
195,198,195,,CURRENT
196,199,196,,CURRENT
197,200,197,,CURRENT
198,201,198,,CURRENT
199,202,199,,CURRENT
200,203,200,,CURRENT
201,204,201,,CURRENT
202,205,202,,CURRENT
203,206,203,,CURRENT
204,207,204,,CURRENT
205,208,205,,CURRENT
206,209,206,,CURRENT
207,210,207,,CURRENT
208,211,208,,CURRENT
209,212,209,,CURRENT
210,213,210,,CURRENT
211,214,211,,CURRENT
212,215,212,,CURRENT
213,216,213,,CURRENT
214,217,214,,CURRENT
215,218,215,,CURRENT
216,219,216,,CURRENT
217,220,217,,CURRENT
218,221,218,,CURRENT
219,222,219,,CURRENT
220,223,220,,CURRENT
221,224,221,,CURRENT
222,225,222,,CURRENT
223,226,223,,CURRENT
224,227,224,,CURRENT
225,229,225,,CURRENT
226,230,226,,CURRENT
227,231,227,,CURRENT
228,232,228,,CURRENT
229,233,229,,CURRENT
230,234,230,,CURRENT
231,235,231,,CURRENT
232,236,232,,CURRENT
233,237,233,,CURRENT
234,238,234,,CURRENT
235,239,235,,CURRENT
236,240,236,,CURRENT
237,241,237,,CURRENT
238,242,238,,CURRENT
239,243,239,,CURRENT
240,244,240,,CURRENT
241,245,241,,CURRENT
242,246,242,,CURRENT
243,247,243,,CURRENT
244,248,244,,CURRENT
245,249,245,,CURRENT
246,250,246,,CURRENT
247,251,247,,CURRENT
248,252,248,,CURRENT
249,253,249,,CURRENT
250,254,250,,CURRENT
251,255,251,,CURRENT
252,256,252,,CURRENT
253,257,253,,CURRENT
254,258,254,,CURRENT
255,259,255,,CURRENT
256,260,256,,CURRENT
257,261,257,,CURRENT
258,262,258,,CURRENT
259,263,259,,CURRENT
260,264,260,,CURRENT
261,265,261,,CURRENT
262,266,262,,CURRENT
263,267,263,,CURRENT
264,268,264,,CURRENT
265,269,265,,CURRENT
266,270,266,,CURRENT
267,271,267,,CURRENT
268,272,268,,CURRENT
269,273,269,,CURRENT
270,274,270,,CURRENT
271,275,271,,CURRENT
272,276,272,,CURRENT
273,277,273,,CURRENT
274,278,274,,CURRENT
275,279,275,,CURRENT
276,280,276,,CURRENT
277,281,277,,CURRENT
278,282,278,,CURRENT
279,283,279,,CURRENT
280,284,280,,CURRENT
281,285,281,,CURRENT
282,286,282,,CURRENT
283,287,283,,CURRENT
284,288,284,,CURRENT
285,289,285,,CURRENT
286,290,286,,CURRENT
287,291,287,,CURRENT
288,292,288,,CURRENT
289,293,289,,CURRENT
290,294,290,,CURRENT
291,295,291,,CURRENT
292,296,292,,CURRENT
293,297,293,,CURRENT
294,298,294,,CURRENT
295,299,295,,CURRENT
296,300,296,,CURRENT
297,301,297,,CURRENT
298,302,298,,CURRENT
299,303,299,,CURRENT
300,304,300,,CURRENT
301,305,301,,CURRENT
302,306,302,,CURRENT
303,307,303,,CURRENT
304,308,304,,CURRENT
305,309,305,,CURRENT
306,310,306,,CURRENT
307,311,307,,CURRENT
308,312,308,,CURRENT
309,313,309,,CURRENT
